Rank,Title,Heat,Link
12.,再见爱人4第七期视频没了,综艺 339178,/l?e=83ebwryWPhC%2Bt7dGmS3524gZXjdWqer%2BnCTJbXDhoBYuqqejVYjem2gRCNHxVaLvrDFnCfkD7ra25%2BiJL7m82p%2B9qUwt1JSESnQDW%2F6zs2aON2GKx0%2Fy698LWus2aE2DT4CA1QgvIotd6lSNCRkSpql%2FU5ZMnGiHB5HmstiPpkQTkk5E0JedUcWPdWKTgbZ4%2FpEutwMfA0pRI8Zi0z8m2Y30hlwv7Q6V8uFsp3WmT8pLCX6XaxEKSuGdti%2BcEKl5oZZ8RSK50ScmXBPv405qDvkpMrVd5MTs08xFv10DkwxSJ%2FsGYFEMq7KzByiiA5lsYgmKzTQWI45gk0sJg0odteKHtXx9l1e9Pjtf
13.,派出所回应山东一金店被抢,33.8万,/l?e=5c4duMDXBLdiByrBCR4qjaW2g0dwF43SAl930SBpDQgeJlnqSKKmgBv4oj129aZiGA2fgp3SBysm9BTWhR3nJJmjuPDO7zzF%2Foq1kT6tZc0krwdFRCUyfWvGrSIcG5MgsgBIlqPWSw75CiFPI3%2F7Shi%2BTahDzJ0dVQwTI5%2FELxCUrzoqLT4N877X%2BuXbu2ujfRjRXcd2d8eoQiX373n2l6MwylJEDTRSSEEqflSVVs6BsIoIAYpf94VSPTtMUl8DWvQaQwTcfvzO6IMxVbkMqZ4IXOyfWPL%2FAtxU3uPdoqPiifc%2BU1mqDACGH80%2FslEo8%2B5%2FKINxv9j3YXTuDd1qSapCawkNIaUg1G9yxA5A3XOEAfoR8IOpAXA
14.,黄雅琼回应郑思维退出国际赛场,33.1万,/l?e=3f30aRb%2FH5U7KjkCRD1CFVPRPSTsPQfK54k2J69wrD6HesOA%2Fbu0RHL79BiR3ec3rklCq3hJ2lFgYrYfaNstNtciJOLINUzyNGdbyFT4AOjhAo74B%2FOd7UaEbqybsVUWdiMjJCGkg1O%2B4aBDheiOViFFNZePvhc7TNK42fFoQqm%2FzmZoKv%2BrGZoxd61BiC8THNKf1pz4pa%2FPwgpDT03%2BR9VuK8A5kDgTGJncz9O5WfZRLufs5fFyW3QAirGrhjt2cvvqpSL119Qx3Xx8zcRw1sRjGYe%2F0yrd9XMsHN3aAVnlVr82DIvHWjE9hRoR%2BPkoPLlQrs9NfKE422A1cesvYkqH%2Fj%2FKfLgxsQhfoFQtorJu4Fbl9dj5yOpE%2BjjyPVxs5TpAn8kWFs2JACcvqSrbRBIFvLWS048
15.,蛇年春晚官宣,晚会 326190,/l?e=81a0vF2kQQ1xiddPNY8k50iM5ZmDFv3nObhJyeG4HIEWRVRO6NNNeLJol6tZGqvFUa8a5qenZ%2BlgUzs5ftLj0lEo%2FhMQwLNSrMeiErxqxjw3dtA9d5aCnY7drJyEvwJBmlQ%2BXmam7n9RKRoiE4oHavOYiydNim%2BlrS%2BP0siSwWObF2CeF%2F6xEEC%2B61TYtrUoN%2FyuYcTc1FFiWpmJXNND0NqwBwQL8PXKg7I8dmO2UaWimeiZbBYXO9xovyv3GEw
16.,韩国人的精致穷,32.2万,/l?e=e801%2BhiyndUX6BQjg5HC%2B6iJRSvzuwoWuUDS0PR%2BS9VLCMPrxLDz0e4y08PCIHpaE3vIDjY8pv5H3KbiduRDmg6U4vbEC7%2FUTSdZMkQEYK4NFD4hLO%2FX8X9Ba8ZvNyM7qSH8FJaKOcNPUoXWQHNdq%2BnIXQOLRfM1963I2%2BA1C8ZddpACaCcWHej4oMElvwjQL8614EKKaba69QmZN6avZYVmYFBRIKzVfoZO4AktpxIalwhYgHcwdr%2B8GxMvBep9H%2FtlVgQWA3TBNVjGBHw
17.,王源头像P了个新帽子,32.1万,/l?e=aff9cCqcRU9LvD%2F6a4HtnF%2FGXNfWW1Cc%2B41clwE3CFi4B1YxITyO76nJMyyppNl1V%2B76YdZkrEpKzNrSO2C1DEAvV67FpkKWfnKyjEFDVvGKRTTlTC8QTnU1PJ0DwlgRxJP0tn1UEnlTX5cCAVe7pUDL6Gb0Pj85LZ1mY1aMrc4FFd%2BWuOevcAC94qzTWp3BIgfOd5GXTFb4b8GErgzJmLPTE8VhApkbIYvHS%2FnabLfvx2q9eWoxvd21Wq8D1uBTeFjII3VMOOcHc2Y6DivJmZc1QCseczAnTYiSrVabEU6o%2F7u0t5xwwGOjp5dw
18.,林一长沙活动取消,31.0万,/l?e=17d4ONjximMrvr6Txu7Sr13j3LWkKkB5PfMxWRQMIqu9D9SxB6Q%2B7ZkqO4sjzUzNxY7bMRKshV94p2rigd2EKJUxrTB%2BPf5iThk3Ym%2B4B706OiVU9NlCc350R7u5ov3ctd7afQw1sjToS9OWzbhjkFM6fNCSj5WbVhizh2IvDowc2bojlGloU%2FxuKxHP9pwHTs0ddxcePOx6sEmylmHZu96Q31oKiPp3nD4%2B%2FMLIlt2ATJnUvSIOJxZOKs15ZW0LzusOg9WvPGjge88tLwZj7IPY7OfpsrV4RzxfI4c
19.,胖东来调改永辉超市25天改了啥,23.4万,/l?e=d55aZBAuSKAhEf5IgHUMt3T14Pc3l9VwQgIRTsz9gOCnv7evXyb%2BiUSP1pLL6O0gNZYCmy0IUMBU53MfuMk9%2F50uANozz7C3CSk3Fxk9vWL0kSno96FIasPjsgq4fZvyaxpZ3uIZ1i4FlAGUMWkjS2UbL5BcPMapCGSAOopEYD5dEiPr%2BtSPVC2X2wxqhhTEEdWtb7nzc32Azemp6V7o%2BohkHhX7a%2BosY5XglYLsqnczrJ%2Fo95hUnyBvDwiC8IDTO%2BHXF3hjRJHN%2BHeKG1nfoFAUbRo4hIhu%2BopY%2Bo46%2BfCnMStcXw1sgt61KCAE%2Fj3DbzyZMJ%2FEQHDAuT0I9WNCxG3ZEPC5jSOOBrBfdO8ioY%2B5SbFTa4Y4TSvhbI9PgjAEhoIEgAMYLbu7nw
20.,王楠女儿落选国乒少年集训队,22.5万,/l?e=cbadtLpYBWb%2BEHXeE8ylqYTaO%2BXbpOcsYAoija%2FY36KhF%2Bg5z7YkVmFg4hbCtPDTwBPdAl6BLEUjTV3KACORiQ%2FCg7Fq4ojzZDdrhEFDlIwgebZ55CudKCmyOfO1VxTSYpCpkq0nWgdASUVsH7ayeph2uloeJBY1tB9WaajIFHD6SbKv0lkNN9L2cuCyyOhFSUgFOaEV%2BDwVSQsjIFeMGYPMNDZyTt33ZNSBItNCHZr3NIDjXMYGE3yxgIqUyntmloo8gvbXG7HVcgrEQnu1cydZdmYcPjLBP99DDE%2B%2BPiySXNP%2B5ADtP4s%2B03%2F%2FMMpwX0c2yezkWMa%2BOgEsS30nM%2FGz%2B6YV0Z3dTpE93dqD2mITeRnAXLD1A9gB%2B4eAebixQ7Pz8cLHS7I
21.,巴黎世家售出8天后要顾客补1147元,20.9万,/l?e=bba516UMxBuNm2jMvHXBF5Xocw9JbWa9TcjUgyipBa9p3lprqCqTvvTmohcW3nldoNaRNZOSMXYoxHr0UcZuysohraZU6zpzuqt%2FZzbaB6o4Jhe1S4M%2Fq1%2FSlqKuXMpH0Ug7AEJe0q%2BTeak%2F3twE5gCZIo83mxqbDvLDk2r12Yvy%2B9CKENZZ%2BR8jngrK69Txy2B8KTIcIhVNakJoXYOx3RHMqDBfR6tK%2FIdWwv%2Ff8SwjR4GmpLRm7vMRvQk4kMTYDlt77RwOpaR1Vq4Bhr3a8%2F5uCin8Y2L%2FJ5OAeiN6p2XzXjQcAUvlWTvdub0c9adSm3urOlrTxkSGY%2Fov%2BcUzyea6j3TurBPV66LH4jd%2Bwp8z1UFoEmhvI%2B6hOq97ciMKvEGNx%2BQzTk5XKgFiBg
22.,古巨基钻石败犬live首秀,演出 203455,/l?e=e4dck5T16wQN1s4JsKf2v1sWNlzSi8%2BKTcv%2F%2B6J4RpYav3LrzDMPVI8o2nXqUIQU9OmI5mO3blTAJ1rM9H6NnSRjO4qp%2FzLVcr6bdj7obqP2NoevLJayXiChIiZGyKLntsDXq%2F59b3mHRNgFsYZlnAeHI%2BlxOhIulcn1D0MYU0duJT5xw7bIq1ARreAF%2BPasNdkAMVr21tnUWzdvtNvK1%2Fw9%2FzD3MG4HGAnd3ekdSBeR27GxMxxnqOE78g7WDE%2FqMbqn%2Bv2fYci7wnoaU%2BJg4SGiSvrNWoIqI%2FfVCpGTFxB%2F2jA8ahX7K78C2Zzho8%2Fh
23.,欢迎进入中女造饼时代,20.2万,/l?e=85dafidb2FHToSd%2BwMOJfBTxjYLf8dC9%2BX4%2FvA69sntaCYx9JdTo8zeI05k2FQFWUJ5hAVGNI8EIGaNzWE5ulCMexPiK6JHEI550ZzVmn3gS2b7cPOBAlHWlqsCmyddHCoekCEHs%2F9B1vczE25jj%2Fh0CJmrL69uLFJhqrX1hdW5%2BDTXryaZfWQKYJVNgmWhBH0uQN834m82d6EdRciVg0PedJ%2FNaNl6AGkgpLHHQ%2BaIJezNSvSTPRhcE29ymnRRdSRZpuoQ7HgpXodD0PZXmS7Zi%2BUI7EFCQ0dAtz2g%2BOKwXHMT2jwcvcumgiAzbuAur9KdxMIS3691DsmI
24.,孙艺珍为2岁儿子庆生,20.2万,/l?e=da4e%2BluK3mBAEkV39TjRoq5a0sBzz1H9jd%2B817mbXaDaM0qgQ2gqPKrhlPxW2NibhcYWQq0a6fcxpOs%2F%2FreY4U5YawPqoNlvYpWh6qBxknx6QOM6fDKAP7D5jmmx%2B4e6yo2X2i6oq9Mn4wIN7UDMLlRwkUxRRNB6xIdVUuYgheu4qPcu4ikyfKfTHlhaNiRXFIL8VV21XA5s6csrmM6Q1ZgYoSdhGnLi%2BpjCOO%2FfOipGfIgl0zeV8z1z%2BfN5oRcx3QiQe45q2lcs%2BGlFTavLT3e7Sb9q%2Bys3NJtF7skxEY7KrJfRv9DxDggEL2nT
25.,外籍男子人体藏毒123粒被海关查获,20.1万,/l?e=e3a1NTuPvlMLvOIP7iLSx0FJEAkzQfVYVEe6hI1D6lUjEeNusP08%2F0Hqso7JHmJpPCaJ68RkrwiRDXpDrAzYs9jRJ2vfB%2Fw2X98okSlTdfOtb47Pv5IF9MxWS%2Fzapz45qdXYOkGEqSxuL3m7EOnndMvGtss9BXN66rEDOBZ%2FLvP6%2BP2BukB4bpQd1DotN8MuG7JNUbnfECJXuxoU%2BJd49fLmlK%2BRB%2FbZEL7oc%2FJcFZfsh9SJ6S0nCW2eEBHZ08Xt3Q69gPwqYQUUsa%2FdfaLi7OM2lTwty%2FTMC0PKNHH4cbr0ia%2BdVYSZlG81N4VXXUDQ5iWDrWSrRmk9fDl8zUw4cdD5PfjL8e9WnzNUmcIOCXPorkfKZfpRyig6kI%2BEzG9lBzps7NlQuXqlqxPcKtYk8EAu6HJ7107E6lQ
26.,TES官宣Meiko离队,19.9万,/l?e=59b63ktkw38J6tDqMO7r4Skx%2BzpVqfr2B6zzf2OAsShBxQ40yeTSaTzlEV5otMy2T5Xv5j%2F0XhrIjPMxLVk%2FDx3n3SaeysF%2FqK28nuP7tBIEI1YdRgaVPzLEmR4mxKKRdoiSEkrWj8APr2FGyv7YKJ5L1GrP1jkN2QsOqXiguc%2FV0lTRc017uPjFadPErOlNAy%2BbQ67MHDX8hbOggQWYpu6StNZfi69p4A
27.,丁禹兮看人深情是因为六百度近视,综艺 197584,/l?e=1c55HZ4GR0NnxU%2FemMAMoUPObck0RXmWLSJB%2Bw52Jqg5iyXvlcKuKjUG5nfTArUxvqxj%2FsV%2F5FJZ5Oc6n%2BD4%2BErJMLJDRkYpKQ3uwHQEnDXcG%2Bhdvym2QcAXiPGWvuAU7BB%2Bf3jJehlgLX6x%2BllrXmQBKueUhTgmhGZt5y%2F1Xzbq6YBjtjVAkgI7wKxiNykkp1yqyCVEuCiZhmKbgKd54NU%2Fp%2F3g49IPUWZS8yYX%2FiwRpRAJmzDsJ4umC2fzVETRzfK9w%2F3LRgBceIlMTZwAzsF%2BKwYxmBbZKrf9eLdvxve9hRzDpWdTRr%2FcqYoWdIVdTnTIcjQ0OZcdHRi6kyNgwU%2B8WUK3ewizsLJ5Ru%2F98XR7U7kkZTOAG2vlX%2FEU9zLGAxRTCz0ek4vtR2c6obnkoawJo%2FtuxNFfuZQ4QkdetweZD%2BNdIks
28.,崩坏星穹铁道,19.1万,/l?e=f101lvvyqpWj2wgzzBIrSkoXJ1oZCHTQ%2B1sMA2FPEsEYtGpEqsru3r9zgYrj2%2BLF8prnTOUjbBCP2jeAJsMC2ZbgAIMXZxGRmtJZDMsnnVScaqtcVhddMpzZE5F7RZiu77mkAZteqYSEQTwnooU9VaTP0%2BYbGjP8cXwHrUs2LKftc6lRTtiT7nCI8e1Iy2LgoSNr1flBDuxKhwgTHw%2FwQgbIJwCvs6NIpfPgf3VFpMeBl%2FRyI6CYuHM5MoMC78A
29.,优衣库创始人言论争议,19.0万,/l?e=7abev1rmKzx7JJNf%2FRR1tmxESFgrMEXAVzwXo6UeWaJ47MYRcHs0l4Badiqze3Ql5%2BwdVa37bHTXH6r7%2FoM9WV4p0WSZ2vZuHOT%2BFD2YcIyiOF9iTxY%2Bt2Uy5NWyU8Fq8WZLs3%2BwsVY1EHTMO%2Fn%2BLlFVUo7ihZ22bmrEhS9TMYE6XUmPs2gNzrjAkg8uR73g5gUPeFbOZpVtg5kXmRCNPGs%2FU%2FZF25sHcLUt59UTCKnZQ3KfIWgslhDmMutIeMYzXmPZe5t%2FWFvCvf83mYWtlCFnz269YTTPaw3E4QM3X4a726qSxBIWYQqlijmotgfFrCnQPpB%2FKSNRtOI
30.,年轻人买的水果半数是情感商品,18.6万,/l?e=0010rBJ24LNXHMogvK2%2FTPQaHCBc8T7WrJECRK3gM5WDAeSVWklIvZzHwxwyCkNlq8eAbMA1FfH40ah8sKa%2F4xST6xUa5mNAgjiyDfGGD4BtCTBGpoy6uHJEjEyilsAChNIIpzFHz2CjH5Cd66VeGU29u05WZveJsley39laTqb81CD6sxqjGREsSBGTVvMdxNJQIAgro0bCJVvSmkhUxKZbCn8%2FTKOUfJDuediRt%2FVlm2NO0miGePAf2XDGJa4qcXWsSls9ZHdpgVemzjDhgUVJ1sFBGkuZqANuKNGTyZauqaeFsN0kArdgsW45cgKp0nMIoitkRnJ%2Fw%2BJMORD4eN3uJiWo2xvO58WG54MiaNdJs2m3h0tDvk%2FdMHC0pdcu4TSD1DiQmvDQqq%2BKU6%2FlcXPMK9ahxyk
31.,唐嫣灰紫发色,18.4万,/l?e=6310VK8XnUXEbgCKW3hutLmrF8F20yx2JAazAx7IprOxzb6NLu36alZ84WP8N4Ztc1w4ns%2BOPA26BCXctiFsxr4Rh6pvF9q707%2BzQx%2FpAeQik5HVhGwhoUu9Ege9tZLhRNVjP6KcBrCljYfJPYh1kpIiVuJNLxyoGKCJNSfhORRARboPGQLL%2BXzc15UvrUxmBCdFtPtzKsR%2FgnxeETi%2B6ygpsp8D1QQDEHi4Vavy0SndFqXgVQsXaDzhqTzZ%2F0A
32.,老人吃腌萝卜后中毒整个人紫了,16.3万,/l?e=8ba6m0CyioWmxf2tmkmP4mJmcLObpvkBv7kWPArjFhv9YD4E4A6ZnEZXjlQWNTmkU6i23s3PVNhQR7O8d1gDHkdp4TWkb6aH%2Fwbj2qhV7RwCy0FqAZwIRq9PXNFPUk1uYwj6CgQ7M%2FYmdiJ05pZcp9K2bqFhz4ijfvxm8%2F%2B%2F%2F53skhzOkGgr1DlmWXJAIpAmul1lJyTUmQUQn1gBViaevzMyR%2BDp33OQM%2B3fGtF2wzWMMv%2BowKqy7amsysC4VZxr4mJYk6MnafHIRghL0xaDYnM4CWcU8SDhlc4r%2BryGZzRsd%2Fx3pCJj4JKrVv1CNwY8nKP7pJZIYN86uwvUUU5UKni1Ol4DhsscYZYTjbUD3WOBfRGxKuVeNfyYXPVYqBS23BhlF2zbmmGY2gxt6M9V44w57V7%2B%2BNc
33.,林一霸王茶姬活动,15.9万,/l?e=5711WcEC2PuihWGc5M9pQMed7wEDjKg%2FbaXGpEMFGhgz1tae1tajYSqgF3ST1ImWTgg2meBc%2BuXe8mh%2FPYITBdNYre7VNp3cVh5VvPWpZA51b5EtRgMY51rvY3LiFx87f8ZEejFschByZL43mGzI%2FIcjI4WEPV6pc60a0OWM2FTrvMAIvv0nqr0NmPPDwUOLfPRM19GQK9o2%2Fkm4jPTabXhG50K4L%2FGjM8uOgo%2F9mgL7fZ4HKLWxHaR2GVnJVb6W0RenuKZI4kCNWjDERdMzhCLGztYuWXMX0sKL%2FPE
34.,老师向家长借60多万买房还钱困难,15.5万,/l?e=549cf%2BE1AC8jeOPQmJIqEInBcfM6Qhp73uVu0Y6GoftMCWUlu0e8dleNa%2F902ex5PZl6QOEucxiZeUV%2FmRCYTx8AQ9MyrRabYZU08Z8IpdbP4ZglcALbRjuoV69Tr0zFfy4YRqdrGH0iOnmtQCLdSVwReEF4bVbGf2x79ML8%2ByQXbwnaVTdyDChLpXOM1%2FWrsf6lLwtXAnrJACT8ReJu97blp1f%2BbY2vUCWicIc5x5WgB9V6cNrBnJTO6QgUVsBkQyeeu2totlXb6obeTkvqlnPDIEmTCJnZ2N%2Fs2b1Uri9ZU2BOiDzpILYlzLHnkN%2FKUDaIPnJ1wqgD7oOc5F%2BOy6VUEEUIMIFIPOfHfC7I4TyVPL57CwQuOY9%2F1NIpwgSI7%2BDNSvB%2Fbhh8p8w5bhFcG1EA%2FnhBQk5v8A
35.,杨子黄圣依 人设,综艺 151552,/l?e=adeeATh0%2BEfRZ9G68YZMGxQoqHCSubmTEhwu9Buk0kocHhE5BGMijEokbWC%2FrumFLRqmSC6b1ZP7A3xEQB1f43D3W%2FQVFS3cTESDVPXNmi49TyCW%2Frv9KkkxEmstp%2BUm5%2F3s7EdvkethLpS8rL21v%2BMEODJdIOvFmEO%2Bo1E8VWmGtESPpm8yWIaZodExN5tT8JVl4Xw%2FZADYMM9CXbtYr4F7KtUlTZ4g2DZ0%2FzI0K3sVRuZw%2Bhvjc5Zw0W%2BwbDB%2BKpQ%2BV93LpVh2KzxOtLVCGmk
36.,3人1分钟抢劫金店价值千万财物,15.1万,/l?e=3465kBhlAtv0dF4giSDSl%2B%2FjS8bq6rbeOI4hdY%2F%2FgxJZLYyvzuV7%2BJuwTbLXeA%2BQT3U9cU16VdefBKUBCI7NNAjQGEv6IkbHKyrBSfP%2BtxZs8AirqepVUbWrbRK47CkxeD9ev8Q4%2FM3hprMkc50Oq7aScS%2FjRLTmNEVVYsJTpUE3BGXPB3eXlHDcxah3aOhjC%2BHU6pzOqpp3hkYdQmkxcSV8Jq49IQT9o7Bfb5LX2wu8LGlPOZezvG3ie%2BwOkAhBPgxP%2BSOllAm5aaQP654JQGYogP1NHlxNDJ1tDVt8gJN6Rod%2BNg5DSlxnb2f1F1gQXXKQcCOM5XJnXjqQre0ieB0wvFNsBa4v5fGa4Lt5hUX7oNoRYDHu7llWI0kUpS5GZaGYj3GCk64x%2Bg
37.,张杰唐嫣荧幕合作,15.0万,/l?e=900fN%2BVOnA31saFvRiBdSGOoLpG1KnQLJvan%2Fbz7jqX6Wfjhs0msxByHj9yMhPC0K7CxhIw5oQ29%2BaAtFeOdtb2uzH%2BszCf4AJzY%2FHWvW2AP%2BorOoa0HMFTNJG3I%2F%2FH96M349MdS4iGHoN2vTB3KAkfKtb%2FDQq8rJwET7eyio7GfB4BaspV1kfX1z2sArc9RL33N%2B5aqFA0CTfASGkDRV92KasumezNKXiJzqWXt8dBKEd0j90B9nvTn6pxXPZrfsgmS9kHaXb%2F8Up3ihT7fxKqLLbm%2FJu1tI2JlYio
38.,中国游客在马尔代夫潜水遭鲨鱼咬头,14.9万,/l?e=cfe4UMfj4lrKYr7444DUw54BiCb%2BarWiqmf%2BNIgjJ9OW%2BbXIWcBomzOOirTDSreIdJGud1QMMEBTnVwsrIj8T7D4FHlZTSQtDU9aAzdvvyXR%2BRNaTatnxjLaAwiFxsYfHBe8vPlZEwGPDWZL1LU5N%2Fl4%2FcObPKHw2JMYJ%2Fu0EqM5mkKeo5jeUKVKHSKKNm8QjSOKxC8xmpCIZDyaCjiWF0GHze8wBDEtfniklLlMBtSnLt8pWL17vnV5rzpK2pSlwadqRJ2gCc7Fs10J69bXS4YSvdFym6qmw7XxlWZEeAD5CciYSpWXH7KCIOHn0Kh6Pg5tIyn%2FkV2K%2BubMfB7Ykq2O0aVzphKnDR1NgD0X%2BJ%2B0EoSFCQavGbf05q9tUxr1fPAmpi%2Bi6lTj2NAvL7t%2FEpo%2BMVIMmkXbwN409VF1S4VQjFQdKc8GJmP541YqRXa2u4hRbKk
